slug,task_idx,task_text,importance,batch_idx,extraction_timestamp
variant,0,Generate creative content concepts based on brand guidelines and objectives,5,0,2026-04-24T17:36:45.246329+00:00
variant,1,Analyze creative performance data to identify high-impact visual patterns,4,0,2026-04-24T17:36:45.246329+00:00
variant,2,Produce multiple creative variations for A/B testing and campaign optimization,4,0,2026-04-24T17:36:45.246329+00:00
clarus,0,Aggregate and consolidate private market fund data for limited partners,5,0,2026-04-24T17:36:45.246329+00:00
clarus,1,Generate portfolio performance reports across multiple private market investments,5,0,2026-04-24T17:36:45.246329+00:00
clarus,2,"Monitor capital calls, distributions, and NAV updates across fund holdings",4,0,2026-04-24T17:36:45.246329+00:00
clarus,3,Benchmark LP portfolio performance against industry and peer fund data,3,0,2026-04-24T17:36:45.246329+00:00
zeroframe,0,Develop and deploy advanced AI models for complex reasoning tasks,5,0,2026-04-24T17:36:45.246329+00:00
zeroframe,1,Research novel AI architectures to extend capability boundaries,4,0,2026-04-24T17:36:45.246329+00:00
zeroframe,2,Evaluate AI model performance against established benchmarks and metrics,3,0,2026-04-24T17:36:45.246329+00:00
riveter-ai,0,Search and extract structured data from web pages at scale via API,5,0,2026-04-24T17:36:45.246329+00:00
riveter-ai,1,"Scrape and parse PDFs, images, and dynamic web content for data extraction",5,0,2026-04-24T17:36:45.246329+00:00
riveter-ai,2,Enrich internal datasets by combining web data with third-party sources,4,0,2026-04-24T17:36:45.246329+00:00
riveter-ai,3,Build and deploy custom data APIs for repeated programmatic web queries,4,0,2026-04-24T17:36:45.246329+00:00
riveter-ai,4,Automate competitor pricing and product specification monitoring at scale,3,0,2026-04-24T17:36:45.246329+00:00
riveter-ai,5,Collect KYB and KYC data from public sources to assess customer risk profiles,3,0,2026-04-24T17:36:45.246329+00:00
galini,0,Filter harmful or non-compliant inputs to AI applications at runtime,5,0,2026-04-24T17:36:45.246329+00:00
galini,1,Evaluate AI model outputs against company policies and regulatory requirements,5,0,2026-04-24T17:36:45.246329+00:00
galini,2,Deploy and manage compliance guardrails across enterprise AI applications,4,0,2026-04-24T17:36:45.246329+00:00
galini,3,Test guardrail configurations against edge cases before production deployment,4,0,2026-04-24T17:36:45.246329+00:00
galini,4,Generate audit logs documenting AI input and output compliance decisions,3,0,2026-04-24T17:36:45.246329+00:00
avora,0,Transcribe and analyze dental appointment conversations to identify coaching opportunities,5,0,2026-04-24T17:36:45.246329+00:00
avora,1,Automatically generate clinical chart notes from recorded provider appointments,5,0,2026-04-24T17:36:45.246329+00:00
avora,2,Identify patient interactions most likely to improve case acceptance rates,4,0,2026-04-24T17:36:45.246329+00:00
avora,3,Deliver structured coaching feedback to dental providers based on appointment analysis,4,0,2026-04-24T17:36:45.246329+00:00
avora,4,Track provider performance metrics across clinical excellence dimensions over time,3,0,2026-04-24T17:36:45.246329+00:00
telli,0,Conduct outbound phone calls to leads using AI voice agents autonomously,5,0,2026-04-24T17:36:45.246329+00:00
telli,1,Qualify leads by gathering pre-screening information through conversational voice interaction,5,0,2026-04-24T17:36:45.246329+00:00
telli,2,Convert qualified leads into sales opportunities by scheduling follow-up appointments,4,0,2026-04-24T17:36:45.246329+00:00
telli,3,Adapt conversation scripts dynamically based on prospect responses and intent signals,4,0,2026-04-24T17:36:45.246329+00:00
telli,4,Log call outcomes and lead qualification data into CRM systems automatically,3,0,2026-04-24T17:36:45.246329+00:00
symphony,0,Simulate realistic customer interactions for employee training using AI voice agents,5,0,2026-04-24T17:36:45.246329+00:00
symphony,1,Generate customizable training scenarios based on real-world job situations,5,0,2026-04-24T17:36:45.246329+00:00
symphony,2,Evaluate trainee performance during simulated interactions and provide feedback,4,0,2026-04-24T17:36:45.246329+00:00
symphony,3,Track employee training progress and skill development over time,3,0,2026-04-24T17:36:45.246329+00:00
symphony,4,Scale training delivery across large employee cohorts without additional instructors,4,0,2026-04-24T17:36:45.246329+00:00
streamable,0,Monitor live streaming sessions to detect technical issues in real time,5,0,2026-04-24T17:36:45.246329+00:00
streamable,1,"Diagnose and alert streamers to network, audio, or video quality problems",5,0,2026-04-24T17:36:45.246329+00:00
streamable,2,Provide automated recommendations to resolve streaming configuration issues,4,0,2026-04-24T17:36:45.246329+00:00
streamable,3,Log stream performance metrics for post-session analysis and troubleshooting,3,0,2026-04-24T17:36:45.246329+00:00
crouton,0,"Maintain a live organizational map of people, teams, roles, and ownership",5,0,2026-04-24T17:36:45.246329+00:00
crouton,1,"Sync organizational data from Notion, Slack, spreadsheets, and other sources automatically",5,0,2026-04-24T17:36:45.246329+00:00
crouton,2,Visualize reporting structures and cross-functional ownership across the organization,4,0,2026-04-24T17:36:45.246329+00:00
crouton,3,Update organizational charts automatically when personnel or structural changes occur,4,0,2026-04-24T17:36:45.246329+00:00
crouton,4,Surface answers to questions about team structure and role ownership on demand,3,0,2026-04-24T17:36:45.246329+00:00
durate,0,Generate optimized physician schedules automatically based on coverage requirements and preferences,5,0,2026-04-24T17:36:45.246329+00:00
durate,1,Identify and resolve scheduling coverage gaps across physician groups and clinics,5,0,2026-04-24T17:36:45.246329+00:00
durate,2,Sync physician schedules with existing hospital and clinic management systems,4,0,2026-04-24T17:36:45.246329+00:00
durate,3,"Apply scheduling rules and constraints to produce compliant, personalized physician timetables",4,0,2026-04-24T17:36:45.246329+00:00
durate,4,Notify administrators of scheduling conflicts or unfilled coverage slots in advance,3,0,2026-04-24T17:36:45.246329+00:00
gait,0,Display the prompts that generated specific blocks of AI-written code in editors,5,0,2026-04-24T17:36:45.246329+00:00
gait,1,Enable developers to resume and extend prior AI coding conversation contexts,5,0,2026-04-24T17:36:45.246329+00:00
gait,2,Track and report analytics on AI code generation usage patterns across teams,4,0,2026-04-24T17:36:45.246329+00:00
gait,3,Attribute AI-generated code to originating prompts and conversation sessions,4,0,2026-04-24T17:36:45.246329+00:00
gait,4,Share AI coding session history with teammates for collaborative code review,3,0,2026-04-24T17:36:45.246329+00:00
moonset-health,0,"Automate clinical documentation for hospice, home health, and skilled nursing providers",5,0,2026-04-24T17:36:45.246329+00:00
moonset-health,1,Streamline care plan creation and updates for post-acute patient populations,5,0,2026-04-24T17:36:45.246329+00:00
moonset-health,2,Extract and structure patient data from post-acute clinical records and notes,4,0,2026-04-24T17:36:45.246329+00:00
moonset-health,3,Support billing and coding workflows for post-acute care service reimbursement,3,0,2026-04-24T17:36:45.246329+00:00
candle,0,Deliver daily relationship prompts and games to encourage meaningful partner conversations,5,0,2026-04-24T17:36:45.246329+00:00
candle,1,Adapt question and activity decks based on relationship history and engagement patterns,4,0,2026-04-24T17:36:45.246329+00:00
candle,2,Surface curated local date ideas matched to couple preferences and location,4,0,2026-04-24T17:36:45.246329+00:00
candle,3,Track shared activity streaks to build relationship engagement accountability over time,3,0,2026-04-24T17:36:45.246329+00:00
candle,4,Store and organize shared photos and relationship memories in a private album,3,0,2026-04-24T17:36:45.246329+00:00
candle,5,Enable real-time shared canvas messages and drawings on partner home screens,2,0,2026-04-24T17:36:45.246329+00:00
getcho,0,Coordinate last-mile delivery of high-value goods through a reliable carrier network,5,0,2026-04-24T17:36:45.246329+00:00
getcho,1,Monitor delivery status in real time and detect failures or exceptions automatically,5,0,2026-04-24T17:36:45.246329+00:00
getcho,2,Reroute or reassign deliveries when carrier failures or delays are detected,4,0,2026-04-24T17:36:45.246329+00:00
getcho,3,Provide delivery reliability guarantees on top of underlying variable carrier fleets,4,0,2026-04-24T17:36:45.246329+00:00
getcho,4,Notify senders and recipients of delivery status changes and estimated arrival times,3,0,2026-04-24T17:36:45.246329+00:00
darkgrade,0,Interface image sensor data directly with large language models for scene understanding,5,0,2026-04-24T17:36:45.246329+00:00
darkgrade,1,Interpret real-world visual environments using AI models connected to camera hardware,5,0,2026-04-24T17:36:45.246329+00:00
darkgrade,2,Translate raw sensor inputs into structured semantic descriptions for downstream applications,4,0,2026-04-24T17:36:45.246329+00:00
darkgrade,3,Enable natural language queries about camera-captured visual environments and objects,4,0,2026-04-24T17:36:45.246329+00:00
openfunnel,0,Monitor target market companies for custom behavioral and intent-based trigger events,5,0,2026-04-24T17:36:45.246329+00:00
openfunnel,1,Surface time-sensitive prospect signals such as pricing changes or technology migrations,5,0,2026-04-24T17:36:45.246329+00:00
openfunnel,2,Search for companies matching specific pain-point or behavioral criteria across the web,4,0,2026-04-24T17:36:45.246329+00:00
openfunnel,3,Deliver daily actionable prospect insights based on continuously monitored market signals,4,0,2026-04-24T17:36:45.246329+00:00
openfunnel,4,Identify the right moment to contact prospects based on detected buying intent signals,3,0,2026-04-24T17:36:45.246329+00:00
healthspark,0,Manage insurance credentialing and billing processes for independent physical therapy practices,5,0,2026-04-24T17:36:45.246329+00:00
healthspark,1,Automate clinical documentation and session notes for physical therapy providers,5,0,2026-04-24T17:36:45.246329+00:00
healthspark,2,Handle patient onboarding and scheduling for independent physical therapy practices,4,0,2026-04-24T17:36:45.246329+00:00
healthspark,3,Submit and track insurance claims for physical therapy services rendered,4,0,2026-04-24T17:36:45.246329+00:00
